filename,site,day,month,year,date
20230527_140000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_141000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_142000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_143000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_144000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_145000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_150000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_151000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_152000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_153000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_154000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_155000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_160000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_161000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_162000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_163000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_164000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_165000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_170000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_171000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_172000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_173000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_174000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_175000.WAV,PRIMAVERA,27,5,23,5/27/23
20230528_050000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_051000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_052000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_053000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_054000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_055000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_060000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_061000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_062000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_063000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_064000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_065000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_070000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_071000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_072000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_073000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_074000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_075000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_080000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_081000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_082000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_083000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_084000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_085000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_090000.WAV,PRIMAVERA,28,5,23,5/28/23
20230528_091000.WAV,PRIMAVERA,28,5,23,5/28/23
